time	x_norm	y_norm
0.000000	0.594	0.513
0.011901	0.541	0.496
0.019936	0.542	0.497
0.032163	0.543	0.497
0.043857	0.544	0.498
0.051907	0.544	0.497
0.063889	0.545	0.500
0.071826	0.546	0.499
0.083942	0.547	0.501
0.095891	0.548	0.502
0.103874	0.548	0.501
0.115860	0.549	0.501
0.127862	0.549	0.502
0.135902	0.550	0.505
0.147849	0.550	0.506
0.155847	0.550	0.507
0.167906	0.550	0.507
0.179893	0.550	0.508
0.187893	0.550	0.508
0.199996	0.551	0.508
0.207882	0.551	0.508
0.219874	0.551	0.508
0.231950	0.551	0.507
0.239845	0.550	0.510
0.251885	0.551	0.508
0.263932	0.549	0.506
0.271874	0.510	0.484
0.283900	0.460	0.483
0.291847	0.399	0.483
0.303852	0.381	0.487
0.315904	0.382	0.485
0.323902	0.382	0.485
0.335903	0.381	0.483
0.343845	0.381	0.483
0.355881	0.379	0.487
0.367889	0.380	0.488
0.375837	0.380	0.489
0.387866	0.379	0.490
0.400073	0.381	0.489
0.407901	0.381	0.491
0.419904	0.380	0.494
0.427843	0.379	0.494
0.439888	0.377	0.494
0.451900	0.360	0.494
0.459881	0.350	0.499
0.471901	0.347	0.499
0.479834	0.347	0.501
0.491886	0.347	0.500
0.503896	0.346	0.500
0.511845	0.345	0.503
0.523898	0.346	0.503
0.535888	0.345	0.504
0.543891	0.345	0.503
0.555896	0.344	0.505
0.563858	0.345	0.504
0.575866	0.344	0.506
0.587869	0.346	0.508
0.595859	0.345	0.509
0.607937	0.345	0.508
0.615905	0.345	0.510
0.627886	0.365	0.505
0.639889	0.426	0.499
0.647852	0.444	0.497
0.659902	0.451	0.498
0.671863	0.452	0.499
0.679857	0.450	0.500
0.691933	0.451	0.500
0.699865	0.450	0.502
0.711891	0.450	0.500
0.723886	0.450	0.499
0.732011	0.449	0.502
0.743882	0.450	0.502
0.751853	0.450	0.501
0.763913	0.450	0.502
0.775853	0.449	0.503
0.783856	0.449	0.505
0.795877	0.449	0.504
0.807890	0.449	0.500
0.815902	0.459	0.499
0.827878	0.474	0.498
0.835862	0.473	0.497
0.847915	0.473	0.498
0.859839	0.473	0.497
0.867876	0.473	0.497
0.879905	0.472	0.498
0.887884	0.472	0.501
0.899891	0.473	0.499
0.911889	0.472	0.499
0.919837	0.473	0.500
0.931904	0.472	0.501
0.943850	0.473	0.501
0.951861	0.472	0.500
0.963938	0.472	0.499
0.971870	0.472	0.501
0.983894	0.497	0.498
0.995916	0.548	0.498
1.003884	0.564	0.493
1.015894	0.564	0.493
1.023842	0.565	0.493
1.035905	0.565	0.495
1.047861	0.565	0.496
1.055844	0.565	0.497
1.067901	0.565	0.497
1.079963	0.566	0.496
1.087877	0.566	0.496
1.099900	0.567	0.496
1.107853	0.567	0.496
1.119895	0.567	0.497
1.131872	0.567	0.496
1.139862	0.567	0.497
1.151862	0.567	0.496
1.160017	0.568	0.498
1.171895	0.571	0.502
1.183890	0.579	0.502
1.191884	0.594	0.512
1.203900	0.605	0.496
1.215903	0.954	0.945
1.223898	0.954	0.945
1.235861	-0.616	0.193
1.243873	0.653	0.360
1.255883	0.672	0.731
1.267895	0.647	0.528
1.275885	0.650	0.569
1.287874	0.649	0.569
1.295953	0.648	0.564
1.307897	0.645	0.558
1.319849	0.644	0.551
1.327913	0.643	0.546
1.339849	0.641	0.544
1.351894	0.640	0.539
