time	x_norm	y_norm
0.000000	0.383	0.744
0.011986	0.384	0.742
0.019897	0.386	0.738
0.031952	0.386	0.738
0.043994	0.385	0.737
0.051891	0.387	0.734
0.063925	0.388	0.735
0.075958	0.388	0.734
0.083899	0.390	0.733
0.095943	0.390	0.732
0.103899	0.389	0.733
0.115949	0.389	0.734
0.127951	0.391	0.732
0.135961	0.391	0.730
0.147953	0.392	0.730
0.155891	0.392	0.729
0.167919	0.392	0.729
0.179961	0.391	0.729
0.187907	0.392	0.726
0.199953	0.391	0.729
0.211972	0.390	0.729
0.219938	0.390	0.726
0.231922	0.390	0.726
0.239934	0.388	0.731
0.251907	0.387	0.730
0.263958	0.388	0.728
0.272051	0.390	0.722
0.283939	0.408	0.653
0.291897	0.423	0.562
0.304049	0.432	0.508
0.315945	0.435	0.517
0.323887	0.436	0.518
0.335912	0.436	0.517
0.347968	0.437	0.517
0.355915	0.434	0.519
0.367997	0.436	0.517
0.375950	0.436	0.518
0.387943	0.435	0.518
0.399965	0.434	0.517
0.408038	0.432	0.518
0.419947	0.434	0.515
0.427898	0.432	0.517
0.439936	0.432	0.518
0.451954	0.432	0.520
0.459907	0.430	0.521
0.471943	0.429	0.519
0.483946	0.430	0.518
0.491974	0.429	0.521
0.504090	0.430	0.519
0.511919	0.431	0.518
0.523917	0.429	0.517
0.535911	0.409	0.497
0.543957	0.368	0.460
0.555954	0.340	0.442
0.564042	0.338	0.443
0.575959	0.339	0.446
0.587949	0.339	0.442
0.595904	0.336	0.444
0.607934	0.336	0.445
0.619914	0.335	0.446
0.627951	0.337	0.444
0.639995	0.336	0.447
0.647924	0.336	0.447
0.659945	0.336	0.445
0.671961	0.336	0.442
0.680028	0.337	0.442
0.691961	0.335	0.444
0.699921	0.336	0.445
0.711978	0.333	0.448
0.723923	0.332	0.448
0.731918	0.333	0.451
0.743956	0.344	0.467
0.755940	0.348	0.471
0.764007	0.347	0.471
0.775953	0.347	0.471
0.783903	0.348	0.471
0.795916	0.348	0.471
0.807915	0.347	0.472
0.815957	0.348	0.471
0.827942	0.348	0.471
0.835941	0.348	0.470
0.847958	0.348	0.471
0.859949	0.348	0.471
0.867952	0.346	0.471
0.879919	0.345	0.469
0.891915	0.347	0.470
0.899924	0.374	0.478
0.911922	0.413	0.488
0.919905	0.426	0.489
0.931946	0.423	0.492
0.943947	0.422	0.492
0.951942	0.423	0.492
0.963970	0.423	0.491
0.971922	0.422	0.491
0.983918	0.423	0.491
0.995943	0.423	0.494
1.003951	0.424	0.495
1.015924	0.423	0.495
1.027953	0.423	0.496
1.035944	0.422	0.497
1.047958	0.423	0.498
1.055900	0.424	0.497
1.067914	0.423	0.498
1.080001	0.423	0.499
1.087947	0.423	0.499
1.099949	0.422	0.498
1.107960	0.423	0.498
1.119952	0.422	0.497
1.131957	0.421	0.498
1.139989	0.422	0.498
1.151925	0.422	0.496
1.163919	0.421	0.498
