time	x_norm	y_norm	confidence
0.000000	0.577	0.502	0.98999999999999999
0.012112	0.576	0.502	1.0
0.024001	0.577	0.502	1.0
0.031989	0.577	0.502	1.0
0.044114	0.577	0.503	1.0
0.052036	0.578	0.504	1.0
0.063982	0.579	0.508	1.0
0.076010	0.579	0.507	1.0
0.083928	0.579	0.510	1.0
0.096020	0.579	0.507	1.0
0.108001	0.579	0.509	1.0
0.115973	0.579	0.510	1.0
0.127981	0.579	0.509	1.0
0.135931	0.578	0.508	1.0
0.147965	0.578	0.507	1.0
0.159995	0.578	0.511	1.0
0.167968	0.578	0.510	1.0
0.179981	0.578	0.508	1.0
0.187943	0.578	0.508	1.0
0.199997	0.577	0.509	1.0
0.212006	0.576	0.510	1.0
0.219934	0.546	0.525	1.0
0.231956	0.470	0.543	0.98999999999999999
0.243991	0.418	0.541	0.98999999999999999
0.251966	0.414	0.541	1.0
0.263990	0.413	0.539	1.0
0.271947	0.413	0.544	1.0
0.283953	0.411	0.547	1.0
0.296004	0.410	0.547	1.0
0.303947	0.409	0.550	1.0
0.315957	0.408	0.551	1.0
0.323954	0.408	0.549	1.0
0.335938	0.408	0.549	1.0
0.347986	0.408	0.551	1.0
0.355945	0.407	0.550	1.0
0.367978	0.408	0.550	1.0
0.379993	0.403	0.552	1.0
0.387948	0.375	0.556	1.0
0.399955	0.367	0.551	1.0
0.407926	0.368	0.547	1.0
0.419945	0.368	0.547	1.0
0.431986	0.367	0.548	1.0
0.439978	0.366	0.548	1.0
0.451981	0.366	0.549	1.0
0.459948	0.366	0.550	1.0
0.471940	0.365	0.549	1.0
0.483954	0.366	0.549	1.0
0.491958	0.367	0.552	1.0
0.503945	0.364	0.552	1.0
0.515990	0.365	0.553	1.0
0.523947	0.365	0.552	1.0
0.536002	0.366	0.549	1.0
0.543948	0.364	0.550	1.0
0.555983	0.365	0.549	1.0
0.567989	0.365	0.551	1.0
0.575976	0.365	0.551	1.0
0.587958	0.367	0.550	1.0
0.595948	0.401	0.546	1.0
0.607985	0.459	0.544	0.98999999999999999
0.620017	0.479	0.541	1.0
0.627954	0.477	0.541	1.0
0.639976	0.476	0.542	1.0
0.651992	0.477	0.540	1.0
0.659979	0.478	0.541	1.0
0.671962	0.477	0.543	1.0
0.679955	0.478	0.545	1.0
0.691992	0.479	0.546	1.0
0.703997	0.478	0.545	1.0
0.711995	0.477	0.547	1.0
0.723998	0.477	0.547	1.0
0.731946	0.477	0.551	1.0
0.744007	0.477	0.550	1.0
0.755973	0.477	0.550	1.0
0.763955	0.477	0.551	1.0
0.775967	0.477	0.550	1.0
0.787966	0.476	0.549	1.0
0.795994	0.475	0.548	1.0
0.807993	0.476	0.550	1.0
