time	bloc	trial	event
0.003308	1	1	TRIAL_START
6.020351	1	1	TRIAL_END
7.026111	1	2	TRIAL_START
66.533019	1	2	TRIAL_END
67.604844	1	3	TRIAL_START
70.251724	1	3	RESPONSE
70.279663	1	3	CONSEQUENCE
70.643700	1	3	RESPONSE
71.027715	1	3	RESPONSE
72.259812	1	3	RESPONSE
72.260062	1	3	CONSEQUENCE
72.739719	1	3	RESPONSE
73.171718	1	3	RESPONSE
73.171980	1	3	CONSEQUENCE
73.659730	1	3	RESPONSE
73.963847	1	3	RESPONSE
74.291724	1	3	RESPONSE
74.291994	1	3	CONSEQUENCE
74.595699	1	3	RESPONSE
74.939753	1	3	RESPONSE
75.251764	1	3	RESPONSE
75.252147	1	3	CONSEQUENCE
75.587713	1	3	RESPONSE
75.851765	1	3	RESPONSE
76.163708	1	3	RESPONSE
76.163946	1	3	CONSEQUENCE
76.475783	1	3	RESPONSE
76.811736	1	3	RESPONSE
77.091885	1	3	RESPONSE
77.092253	1	3	CONSEQUENCE
77.427737	1	3	RESPONSE
77.755712	1	3	RESPONSE
78.075739	1	3	RESPONSE
78.076049	1	3	CONSEQUENCE
78.403712	1	3	RESPONSE
78.723712	1	3	RESPONSE
79.043685	1	3	RESPONSE
79.043923	1	3	CONSEQUENCE
79.363709	1	3	RESPONSE
79.691690	1	3	RESPONSE
80.027679	1	3	RESPONSE
80.027927	1	3	CONSEQUENCE
80.347708	1	3	RESPONSE
80.691718	1	3	RESPONSE
80.995700	1	3	RESPONSE
80.995941	1	3	CONSEQUENCE
81.339722	1	3	RESPONSE
81.651691	1	3	RESPONSE
81.987819	1	3	RESPONSE
81.988105	1	3	CONSEQUENCE
82.323714	1	3	RESPONSE
82.659707	1	3	RESPONSE
82.987732	1	3	RESPONSE
82.987976	1	3	CONSEQUENCE
83.331695	1	3	RESPONSE
83.659686	1	3	RESPONSE
83.979742	1	3	RESPONSE
83.980108	1	3	CONSEQUENCE
84.331715	1	3	RESPONSE
84.651698	1	3	RESPONSE
84.971766	1	3	RESPONSE
84.972032	1	3	CONSEQUENCE
85.307686	1	3	RESPONSE
85.635661	1	3	RESPONSE
85.995704	1	3	RESPONSE
85.995972	1	3	CONSEQUENCE
86.347694	1	3	RESPONSE
86.651708	1	3	RESPONSE
87.003683	1	3	RESPONSE
87.003943	1	3	CONSEQUENCE
87.355693	1	3	RESPONSE
87.683677	1	3	RESPONSE
88.011718	1	3	RESPONSE
88.012080	1	3	CONSEQUENCE
88.379721	1	3	RESPONSE
88.739660	1	3	RESPONSE
89.115688	1	3	RESPONSE
89.115949	1	3	CONSEQUENCE
89.531674	1	3	RESPONSE
89.907707	1	3	RESPONSE
90.283687	1	3	RESPONSE
90.283935	1	3	CONSEQUENCE
90.651713	1	3	RESPONSE
91.003671	1	3	RESPONSE
91.379701	1	3	RESPONSE
91.379950	1	3	CONSEQUENCE
91.699690	1	3	RESPONSE
92.051647	1	3	RESPONSE
92.403660	1	3	RESPONSE
92.404020	1	3	CONSEQUENCE
92.723680	1	3	RESPONSE
93.075681	1	3	RESPONSE
93.403689	1	3	RESPONSE
93.403983	1	3	CONSEQUENCE
93.779711	1	3	RESPONSE
94.131737	1	3	RESPONSE
94.507678	1	3	RESPONSE
94.507960	1	3	CONSEQUENCE
94.867661	1	3	RESPONSE
95.235680	1	3	RESPONSE
95.619666	1	3	RESPONSE
95.619957	1	3	CONSEQUENCE
95.971655	1	3	RESPONSE
96.347677	1	3	RESPONSE
