time	x_norm	y_norm
0.00	0.534	0.869
0.01	0.669	0.741
0.02	0.531	0.854
0.03	0.298	0.625
0.04	0.677	0.730
0.05	0.295	0.641
0.06	0.397	0.185
0.07	0.285	0.631
0.08	0.381	0.824
0.09	0.675	0.273
0.10	0.390	0.180
0.11	0.381	0.179
0.12	0.283	0.377
0.13	0.293	0.379
0.14	0.539	0.142
0.15	0.535	0.879
0.16	0.666	0.726
0.17	0.718	0.485
0.18	0.292	0.387
0.19	0.670	0.269
0.20	0.400	0.181
0.21	0.390	0.822
0.22	0.540	0.138
0.23	0.293	0.632
0.24	0.374	0.819
0.25	0.684	0.746
0.26	0.670	0.740
0.27	0.656	0.736
0.28	0.539	0.878
0.29	0.293	0.624
0.30	0.667	0.258
0.31	0.300	0.366
0.32	0.538	0.136
0.33	0.540	0.136
0.34	0.671	0.262
0.35	0.669	0.745
0.36	0.393	0.820
0.37	0.293	0.618
0.38	0.673	0.276
0.39	0.383	0.821
0.40	0.663	0.751
0.41	0.547	0.135
0.42	0.663	0.260
0.43	0.658	0.735
0.44	0.294	0.360
0.45	0.290	0.376
0.46	0.729	0.512
0.47	0.279	0.635
0.48	0.712	0.494
0.49	0.388	0.805
0.50	0.658	0.270
0.51	0.670	0.745
0.52	0.294	0.377
0.53	0.678	0.729
0.54	0.708	0.504
0.55	0.656	0.265
0.56	0.526	0.862
0.57	0.714	0.501
0.58	0.527	0.139
0.59	0.392	0.194
0.60	0.657	0.256
0.61	0.718	0.487
0.62	0.390	0.183
0.63	0.670	0.254
0.64	0.300	0.361
0.65	0.539	0.850
0.66	0.291	0.384
0.67	0.293	0.633
0.68	0.276	0.627
0.69	0.530	0.132
0.70	0.291	0.372
0.71	0.535	0.120
0.72	0.391	0.815
0.73	0.279	0.619
0.74	0.676	0.743
0.75	0.663	0.729
0.76	0.396	0.180
0.77	0.676	0.257
0.78	0.288	0.384
0.79	0.380	0.814
0.80	0.290	0.619
0.81	0.658	0.746
0.82	0.722	0.501
0.83	0.668	0.276
0.84	0.396	0.816
0.85	0.524	0.864
0.86	0.397	0.172
0.87	0.382	0.170
0.88	0.277	0.370
0.89	0.663	0.735
0.90	0.387	0.821
0.91	0.685	0.735
0.92	0.289	0.382
0.93	0.388	0.814
0.94	0.683	0.744
0.95	0.720	0.492
0.96	0.546	0.146
0.97	0.533	0.143
0.98	0.390	0.179
0.99	0.541	0.150
1.00	0.394	0.808
1.01	0.681	0.730
1.02	0.305	0.628
1.03	0.390	0.821
1.04	0.374	0.184
1.05	0.729	0.498
1.06	0.404	0.180
1.07	0.399	0.191
1.08	0.380	0.830
1.09	0.680	0.730
1.10	0.529	0.856
1.11	0.296	0.362
1.12	0.528	0.140
1.13	0.736	0.498
1.14	0.670	0.260
1.15	0.680	0.741
